Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
Wrzeszcz/4 pokoje/wysoki standard/95M2 po podłodze,"Gdańsk Wrzeszcz, Bolesława Chrobrego",72.2,4,4,2013,895 000 zł
Nowe 2 pokojowe Gdańsk.,"Gdańsk Św. Wojciech, Czerska",39,2,2,2016,310 000 zł
Przestronne 2 pokoje z miejscem w hali garażowej !,"Gdańsk Osowa, Międzygwiezdna",58.6,2,2,2009,459 000 zł
Gdańsk 3 pokojowe z widokiem na las,"Gdańsk Matarnia - Rębiechowo, Mjr. Mieczysława Słabego",58,3,4,2017,569 000 zł
"Luksusowy apartament 3 pokoje, Gdańsk Brzeźno","Gdańsk Brzeźno, Gen. Józefa Hallera",66.86,4,1,0,816 000 zł
Starówka- Szafarnia PILNIE,"Gdańsk Długie Ogrody, Szafarnia",54.7,2,2,2010,670 000 zł
"95,96 m2 4 pokoje Wrzeszcz, wysoki standard!","Gdańsk Wrzeszcz, Gen. Józefa Hallera",95.95,4,5,2010,990 000 zł
Gdańsk Morena- Mieszkanie z tarasem na dachu,"Gdańsk Morena, Myśliwska",122.5,4,3,2020,998 500 zł
"1 piętro, winda, 2 miejsca post. od zaraz!","Gdańsk Szadółki, Potęgowska",50,2,1,2012,400 000 zł
Mieszkanie na Grunwaldzkiej,"Gdańsk Żabianka, Grunwaldzka",64.1,3,2,1970,520 000 zł
Mieszkanie 64m w Oliwie,"Gdańsk Oliwa, Grunwaldzka 553",64.1,3,2,1970,520 000 zł
Mieszkanie - Gdańsk Główne Miasto,"Gdańsk Śródmieście, Panieńska",58.46,3,4,2018,906 130 zł
"Mieszkanie 63,4m2 SUPER układ i lokalizacja !!!","Gdańsk Chełm, Romualda Cebertowicza",63.4,2,1,1990,469 000 zł
Klimatyczne mieszknie ze strychem w sercu Oliwy.,"Gdańsk Oliwa, Jarosza Henryka Derdowskiego",101,4,2,1920,975 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Tandeta",40,2,3,2012,692 000 zł
Mieszkanie - Gdańsk Żabianka,"Gdańsk Żabianka, Pomorska",47.1,3,9,1972,399 000 zł
Klimatyczne mieszkanie we Wrzeszczu!,"Gdańsk Wrzeszcz, Aldony",72,3,3,2009,770 000 zł
Zjawiskowe widoki na otaczające lasy,"Gdańsk Morena, Magellana",49.8,2,8,2013,615 000 zł
Czteropokojowe mieszkanie blisko centrum.,"Gdańsk Siedlce, Lecha Bądkowskiego",114,4,5,1995,699 000 zł
Mieszkanie Gdańsk Śródmieście  42 m2,Gdańsk Śródmieście,42,2,parter,2017,600 000 zł
"Przytulna kawalerka z ogródkiem, spokojna okolica","Gdańsk Przeróbka, Joachima Pastoriusza",28,1,1,1950,235 000 zł
Mieszkanie - Gdańsk Morena,"Gdańsk Morena, Myśliwska",48.2,2,1,2012,469 000 zł
Przytulne mieszkanie na Morenie,"Gdańsk Morena, Myśliwska",48.2,2,1,2012,469 000 zł
Gdańsk Wrzeszcz Al.gen.jozefa Hallera,"Gdańsk Wrzeszcz, Gen.jozefa Hallera",57.96,3,1,2018,812 000 zł
Gdańsk Wrzeszcz Aleja Gen. Józefa Hallera,"Gdańsk Wrzeszcz, Aleja Gen. Józefa Hallera",112.81,4,6,2019,1 579 340 zł
2 pokoje Gdańsk Brzeźno blisko morza.,"Gdańsk Brzeźno, Konstantego Ildefonsa Gałczyńskiego",46.1,2,parter,1974,470 000 zł
Brzeźno pas nadmorski mieszkanie 50 m2,"Gdańsk Brzeźno, Walecznych",50.2,2,4,1967,445 000 zł
Mieszkanie - Gdańsk Siedlce,"Gdańsk Siedlce, Bądkowskiego Lecha",114,4,5,1995,699 000 zł
Mieszkanie w pasie nadmorskim,"Gdańsk Przymorze, Obrońców Wybrzeża",46,2,parter,1972,399 900 zł
3 pokoje po remoncie,"Gdańsk Ujeścisko, Słoneczna Dolina",62.8,3,3,2002,529 000 zł
"Mieszkanie - Gdańsk Wrzeszcz, 779 000 zł","Gdańsk Wrzeszcz, Aldony",75,3,3,1910,779 000 zł
1 pok/2 pok dobry stan Żabianka 31m2 TYLKO U NAS!!,"Gdańsk Żabianka, Pomorska",31,1,2,0,299 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Długie Ogrody, Szafarnia",60,2,1,2011,950 000 zł
"Mieszkanie 100 M2, 400 m do morza, gdańsk- brzeźno","Gdańsk Brzeźno, Plater Emilii",100,4,5,1960,649 000 zł
Apartament w Deo Plaza w Gdańsku Wyspa Spichrzów,"Gdańsk Śródmieście, Chmielna",100,4,4,2020,2 500 000 zł
Gdańsk Piecki Migowo Lema,"Gdańsk Morena, Lema",53,3,1,2017,549 000 zł
Mieszkanie w centrum - Gdańsk Wrzeszcz,"Gdańsk Wrzeszcz, Romana Dmowskiego",48.83,2,2,0,469 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Panieńska",53.81,3,2,2018,844 817 zł
Nowe mieszkanie,"Gdańsk Olszynka, Dworkowa",85,4,0,2020,590 000 zł
Mieszkanie Gdańsk Śródmieście Brzegi 71 m2,"Gdańsk Orunia, Brzegi",71,3,1,0,570 000 zł
4 pokoje/ nadmorski dwór/ wysoki standard,"Gdańsk Brzeźno, Nadmorski Dwór",99.51,4,parter,2011,1 850 000 zł
2 pokoje/ harmonia oliwska/ ogródek,"Gdańsk Oliwa, Opacka",44.73,2,parter,2018,599 000 zł
Apartament 60 m2 Śródmieście! z hala garażową,"Gdańsk Śródmieście, Toruńska",60,2,1,2013,659 000 zł
Mieszkanie Gdańsk Śródmieście  35 m2,Gdańsk Śródmieście,35,2,1,1935,569 000 zł
2 pokojowe Gdańsk Osowa do sprzedaży,"Gdańsk Osowa, Diany",40.75,2,parter,2020,368 000 zł
3 pokojowy apartament blisko plaży marina primore,"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",57.5,3,1,2009,769 000 zł
Atrakcyjne 2 pokojowe mieszkanie na Zaspie,"Gdańsk Przymorze, Rzeczypospolitej",46,2,5,0,385 000 zł
Świetne 3 pokojowe mieszkanie na Zaspie!,"Gdańsk Zaspa, Dywizjonu 303",64,3,4,1979,539 000 zł
"Siedlce, przytulne mieszkanie dwupokojowe OKAZJA",Gdańsk Siedlce,33,2,2,0,300 000 zł
3 niezależne pokoje z 3 balkonami w Centrum,"Gdańsk Śródmieście, Jana Heweliusza",58.02,3,3,1960,690 000 zł
Sprzedam Atrakcyjne Dwupoziomowe Mieszkanie 64m na Ujescisku,"Gdańsk  Ujescisko , Przemyska",64,2,3,2007,439 000 zł
""" Słoneczna Morena"" / 2 pokoje/ Wszystko w cenie!!","Gdańsk Morena, Prof. Stefana Hausbrandta",38.7,2,2,0,420 000 zł
Mieszkanie Gdańsk Orunia Sandomierska 51 m2,"Gdańsk Orunia, Sandomierska",51,2,2,0,356 900 zł
3 pokoje w Gdańsku-Osowej!,"Gdańsk Osowa, Diany",55.92,3,parter,2020,427 050 zł
3 pokoje w Gdańsku-Osowej!,"Gdańsk Osowa, Diany",63.02,3,parter,2020,450 730 zł
3 pokoje w Gdańsku-Osowej!,"Gdańsk Osowa, Diany",56.04,3,2,2020,428 400 zł
Przestronne mieszkanie z widokiem na zieleń,"Gdańsk Morena, Powstania Styczniowego",64.72,3,2,1993,520 000 zł
2 pokoje/przymorze/blisko morza,"Gdańsk Przymorze, Chłopska",38,2,3,0,350 000 zł
3pokoje/osobna kuchnia/dostępne od zaraz,"Gdańsk Orunia Górna, Uranowa",65.9,3,2,1998,470 000 zł
Apartament 3 pokoje Wiszące Ogrody,"Gdańsk Kiełpinek, Przytulna",67,3,1,2017,670 000 zł
Funkcjonalne mieszkanie na Zaspie,"Gdańsk Zaspa, Stanisława Skarżyńskiego",63.4,3,4,1980,569 000 zł
Apartament typu  LOFT,"Gdańsk Długie Ogrody, Łąkowa",65.2,2,5,2014,689 000 zł
Mieszkanie w dobrej lokalizacji,"Gdańsk Siedlce, Kartuska",35,2,3,1970,360 000 zł
Mieszkanie - Gdańsk Zabornia,"Gdańsk Morena, Świętego Huberta",83,4,1,2009,750 000 zł
Mieszkanie - Gdańsk Morena,"Gdańsk Jasień, Bażantowa",97,4,2,2015,920 000 zł
3 pokoje w oazie zieleni,"Gdańsk Św. Wojciech, Czerska",55,3,3,2016,375 000 zł
Sprzedam mieszkanie Gdańsk Osowa Kielnieńska,"Gdańsk Osowa, Kielnieńska",30,2,2,2009,285 000 zł
Mieszkanie - Gdańsk Przymorze,"Gdańsk Przymorze, Rzeczypospolitej",49,2,6,2016,670 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Stare Przedmieście, Chmielna",69.2,3,8,2018,1 150 000 zł
Mieszkanie - Gdańsk Brzeźno,"Gdańsk Brzeźno, Nadmorski Dwór",144,5,parter,2013,2 799 000 zł
Mieszkanie - Gdańsk Wrzeszcz,"Gdańsk Wrzeszcz, Jaśkowa Dolina",123.2,3,1,1906,1 300 000 zł
Bastion Wałowa- mieszkanie z widokiem na starówkę!,"Gdańsk Młode Miasto, Wałowa",44.44,2,9,2018,595 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Długie Ogrody, Szafarnia",96,3,parter,2012,1 290 000 zł
Mieszkanie - Gdańsk Przymorze,"Gdańsk Przymorze, Dąbrowszczaków",91,4,parter,2009,1 450 000 zł
Mieszkanie - Gdańsk Stare Miasto,"Gdańsk Śródmieście, Mariacka",87,4,2,1957,995 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Długie Ogrody, Szafarnia",116,4,2,2009,1 850 000 zł
Mieszkanie - Gdańsk Stare Miasto,"Gdańsk Stare Przedmieście, Chmielna",86.7,3,8,2018,1 450 000 zł
2 pokoje/suchanino/szybkie wydanie,"Gdańsk Suchanino, Macieja Kamieńskiego",42,2,4,1980,345 000 zł
"Słoneczne, dwustronne mieszkanie","Gdańsk Zaspa, Dywizjonu 303",82,4,2,1980,656 000 zł
"Gdańsk Stare Miasto, 2 pok. z miejscem w hali","Gdańsk Długie Ogrody, Szafarnia",54.7,2,2,2010,700 000 zł
Nowy apartament w Gdańsku Śródmieście,"Gdańsk Długie Ogrody, Św. Barbary",29.27,2,3,0,510 000 zł
"Dwupak inwestycyjny - Bastion Wałowa, 79m2 - 2w1","Gdańsk Śródmieście, Wałowa",79,4,9,2019,940 000 zł
"Apartament z widokiem - Bastion Wałowa, 72m2, 14p.","Gdańsk Śródmieście, Wałowa",72,3,14,2019,1 340 000 zł
Gdańsk Piecki-Migowo Amundsena,"Gdańsk Morena, Amundsena",72,6,4,0,660 000 zł
Mieszkanie 2 pokojowe po generalnym remoncie,Gdańsk Wrzeszcz,33.3,2,parter,0,295 000 zł
!!Niższa cena!! Urządzone w centrum Gdańska,"Gdańsk Śródmieście, Jana Heweliusza",53.1,2,3,1954,590 000 zł
Mieszkanie Gdańsk Jasień  64 m2,Gdańsk Jasień,64,3,parter,2014,515 000 zł
Mieszkanie w świetnej lokalizacji,"Gdańsk Śródmieście, Wałowa",52.6,2,4,0,465 000 zł
3 duże pokoje i garderoba we Wrzeszczu !!!,"Gdańsk Wrzeszcz, Tadeusza Kościuszki",80.25,4,1,1940,625 000 zł
Mieszkanie - Gdańsk Stare Miasto,"Gdańsk Śródmieście, Szeroka",38.7,2,2,2013,650 000 zł
Mieszkanie - Gdańsk Stare Miasto,"Gdańsk Śródmieście, Szeroka",52.2,2,1,2013,850 000 zł
4 pokoje na Wiszących Ogrodach - Bez prowizji !,"Gdańsk Kiełpinek, Sympatyczna",82,4,1,2008,725 000 zł
Trzypokojowe mieszkanie we Wrzeszczu,"Gdańsk Letnica, Mikołaja Reja",42,3,3,1966,363 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Stare Przedmieście, Jaglana",50.9,2,5,2016,739 000 zł
"Mieszkanie - Gdańsk Orunia Górna, 779 000 zł","Gdańsk Orunia Górna, Gen. Kazimierza Sosnkowskiego",118,5,3,2005,779 000 zł
STOGI 2 pokoje z wyposażeniem,"Gdańsk Stogi, Wilhelma Stryjewskiego",42,2,2,1968,349 900 zł
Ujeścisko/ 3 pokoje/ gotowe do wprowadzenia,"Gdańsk Ujeścisko, Piotrkowska",62.5,3,1,2012,545 000 zł
3 Pokoje 72 m2  Bastion Wałowa,"Gdańsk Młode Miasto, Wałowa",72,3,14,2019,1 350 000 zł
Dwupoziomowe w cichej spokojnej okolicy- Wrzeszcz!,"Gdańsk Wrzeszcz, Hugo Kołłątaja",106,4,4,2007,1 099 000 zł
"Gdańsk, Wrzeszcz - Gotowiec inwestycyjny!","Gdańsk Wrzeszcz, Tadeusza Kościuszki",80.25,4,1,1940,614 900 zł
Kawalerka Brzeźno idealna inwestycja blisko morza,"Gdańsk Brzeźno, Dworska",25.9,1,1,0,255 000 zł
"Mieszkanie z kominkiem, słoneczne, 2 balkony","Gdańsk Morena, Budapesztańska",84.67,4,3,2005,749 000 zł
Wyjątkowe 4 pok. mieszkanie z widokiem na morze,"Gdańsk Przymorze, Obrońców Wybrzeża",102,4,9,2008,1 600 000 zł
Apartament premium z widokiem na Stare Miasto,"Gdańsk Śródmieście, Chmielna",65.5,3,4,2019,1 506 500 zł
Mieszkanie - Gdańsk Zakoniczyn,"Gdańsk Rębowo, Konrada Guderskiego",52.8,3,1,2012,375 000 zł
Apartament z widokiem na morze i okolice 137m2,"Gdańsk Przymorze, Dąbrowszczaków",137.5,4,16,2008,2 490 000 zł
Mieszkanie - Gdańsk Wrzeszcz,"Gdańsk Wrzeszcz, Tadeusza Kościuszki",80.25,4,1,1938,615 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Stare Przedmieście, Toruńska",61.7,3,6,2013,925 500 zł
Rozkładowe i słoneczne mieszkanie z widokiem,Gdańsk Siedlce,112,4,5,0,699 000 zł
Apartament Wysoki Standard Blisko OBC i Alchemia,"Gdańsk Oliwa, Artura Grottgera",130,5,1,2016,1 590 000 zł
Umeblowane pd.-zach. słoneczne z ogródkiem 46m2 2pok. Gdańsk,Gdańsk Olimpijska,46,2,parter,2015,383 000 zł
Hallera/ustawne mieszkanie do własnej aranżacji,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",61.5,3,4,1965,495 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Morena, 2 pokoje, 74,09 mkw, za 623000 zł. Kup Bez Prowizji!","Gdańsk Morena, Myśliwska",74.09,2,3,2020,623 000 zł
Doskonała Inwestycja! Mieszkanie 3 Pokojowe z Widokiem na Motławę - Śródmieście Centrum,Gdańsk Śródmieście,60,3,3,2012,650 000 zł
"Apartament Granaria, Gdańsk ul. Chmielna","Gdańsk Śródmieście, Chmielna",83,3,2,2019,1 992 000 zł
"Mieszkanie 3-pokojowe, Gdańsk ul. Rybna","Gdańsk Stogi, Rybna",56,3,4,1980,429 900 zł
"Mieszkanie 4-pokojowe, Gdańsk SIedlce","Gdańsk Siedlce, Lecha Bądkowskiego",114,4,5,1992,699 000 zł
2 Poziomy z widokiem na Panoramę Gdańska,"Gdańsk Aniołki, Marsz. Ferdynanda Focha",155.7,6,4,1997,990 000 zł
3 pokoje/ dwa poziomy/ gotowe do wprowadzenia,"Gdańsk Łostowice, Szmaragdowa",81,3,parter,2013,439 000 zł
2-pokojowe mieszkanie z niesamowitym widokiem,"Gdańsk Przymorze, Piastowska",45,2,10,1978,474 000 zł
Mieszkanie - Gdańsk Orunia Górna,"Gdańsk Ujeścisko, Dąbrówki",42,2,1,2001,400 000 zł
Mieszkanie Gdańsk 63m2,"Gdańsk Śródmieście, Rajska",63,3,3,2019,945 000 zł
Mieszkanie Gdańsk Łostowice Niepołomicka 30 m2,"Gdańsk Łostowice, Niepołomicka",30,1,2,2019,275 000 zł
Przestronne dwupoziomowe Wrzeszcz,"Gdańsk Wrzeszcz, Hugo Kołłątaja",106,4,4,2007,1 150 000 zł
Mieszkanie - Gdańsk Stare Miasto,"Gdańsk Śródmieście, Tartaczna",28.7,2,3,0,460 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Wrzeszcz, 4 pokoje, 80,25 mkw, za 625000 zł. Kup Bez Prowizji!","Gdańsk Wrzeszcz, Kościuszki",80.25,4,1,1930,625 000 zł
Mieszkanie 2 pokoje nad stawem - kameralne osiedle,"Gdańsk Zakoniczyn, Kazimierza Porębskiego",43.5,2,2,2003,398 999 zł
Mieszkanie 48 m2 z widokiem na Westerplatte,"Gdańsk Nowy Port, Wyzwolenia",48,2,11,1975,410 000 zł
Gdańsk Gdańsk Jasień Pólnicy,"Gdańsk Jasień, Pólnicy",111,4,1,1995,810 000 zł
Słoneczne i przytulne 2 pokoje z miejscem parkingowym i piwnicą,"Gdańsk Ujeścisko, Anny Jagiellonki 15",42.5,2,3,2004,449 000 zł
"CISZA, SPOKÓJ, Z OGRODEM, WRZESZCZ","Gdańsk Wrzeszcz, Jana Kochanowskiego",60,2,2,1938,449 000 zł
"3 pokoje na Morenie z dużym tarasem, winda!","Gdańsk Jasień, Myśliwskie Wzgórze",61,3,3,2015,567 300 zł
"Duży, Apartament na śródmieściu, tuż nad Motławą.","Gdańsk Śródmieście, Kotwiczników",115,4,5,2018,980 000 zł
Inwestycja/ doskonała lokalizacja/ 2 pokoje,"Gdańsk Wrzeszcz, Jana Kochanowskiego",59.8,2,2,1938,449 000 zł
Mieszkanie gotowe do zamieszkania,"Gdańsk Przeróbka, Sienna",37,2,3,1976,320 000 zł
Gdańsk Przymorze Przymorze,"Gdańsk Przymorze, Przymorze",50,2,parter,2016,589 000 zł
Najtańsze 38 m2 w Gdańsku do wykończenia,"Gdańsk Orunia Dolna, Żuławska",38,2,parter,0,185 000 zł
Wspaniałe mieszkanie w centrum Gdańska!,"Gdańsk Młode Miasto, Wałowa",33,2,6,2018,539 000 zł
"""Na dachu miasta""","Gdańsk Śródmieście, Czopowa",122,4,2,2011,1 590 000 zł
Piękne 3 pokoje w świetnej lokalizacji,"Gdańsk Kowale, Zeusa",53.51,3,1,2013,399 000 zł
Mieszkanie przy Motławie - idealne na wynajem.,"Gdańsk Śródmieście, Stara Stocznia",51.85,2,4,2017,920 000 zł
W sercu Starego Miasta z widokiem na Motławę!,"Gdańsk Śródmieście, Targ Rybny",45,3,3,1952,699 000 zł
Apartament Silver Jantar,"Gdańsk Długie Ogrody, Długie Ogrody",43.71,2,3,2019,524 520 zł
Apartament Gold Jantar,"Gdańsk Długie Ogrody, Długie Ogrody",50.7,3,3,2019,608 400 zł
Apartament Gdański  Platynium  Jantar,"Gdańsk Długie Ogrody, Długie Ogrody",53.54,3,4,2019,642 480 zł
Apartament Gdański Jantar,"Gdańsk Długie Ogrody, Długie Ogrody",41.3,2,3,2019,495 600 zł
Komfortowe mieszkanie w centrum Gdańska,"Gdańsk Śródmieście, Toruńska",71.7,3,3,2009,899 000 zł
Gdańsk Starówka - „Kwartał Kamienic&#8221;,"Gdańsk Śródmieście, Tandeta",80,3,2,2014,1 400 000 zł
Przestronne 3 Pokoje Na Ogrodzonym Osiedlu,"Gdańsk Wrzeszcz, Manifestu Połanieckiego",68,3,3,1953,499 000 zł
"Komfortowe, unikatowe 2 pokoje w Centrum","Gdańsk Śródmieście, Panieńska",47.51,2,1,2019,799 000 zł
Apartament w centru - wysoki standard - old nova,"Gdańsk Śródmieście, Panieńska",47.51,2,1,2019,799 000 zł
2 pokoje w sercu gdańskiego Starego Miasta!,"Gdańsk Śródmieście, Lawendowa",32.53,2,1,1900,459 000 zł
Trzy pokoje Przymorze,"Gdańsk Żabianka, Tysiąclecia",56,3,parter,1970,438 000 zł
"Mieszkanie 83,00 m2, stan dewelop., GD-Śródmieście","Gdańsk Długie Ogrody, Św. Barbary",83.05,5,4,2019,839 900 zł
"Gdańsk, Oliwa świetna lokalizacja obok OBC!","Gdańsk Oliwa, Jana Husa",76.4,3,2,1951,599 000 zł
Okazja - mieszkanie TANIE w utrzymaniu!,"Gdańsk Osowa, Wodnika",57.2,2,parter,2000,389 000 zł
"""Zajezdnia Wrzeszcz"" 3 pokoje... Prezentacja ?","Gdańsk Wrzeszcz, Grudziądzka",58,3,1,2019,693 900 zł
"""Zajezdnia Wrzeszcz"" 3 Pokoje 2 Łazienki  Hala","Gdańsk Wrzeszcz, Gen. Józefa Hallera",65,3,1,2020,773 500 zł
Przestronne 2 pokoje Motława Starówka Gdańsk,"Gdańsk Śródmieście, Tartaczna",57,2,5,2014,779 000 zł
Gdańsk Niedźwiednik trzy pokoje o powierzchni 73m2,"Gdańsk Niedźwiednik, Mazowiecka",72.69,3,4,1978,489 000 zł
Mieszkanie 3 pokojowe Gdańsk Śródmieście,"Gdańsk Długie Ogrody, Długie Ogrody",68.3,3,3,0,669 000 zł
Wspaniały apartament przy Targu Maślanym,Gdańsk Śródmieście,33,2,2,2017,499 000 zł
4 pokojowe mieszkanie z funkcjonalnym rozkładem,"Gdańsk Ujeścisko, Przemyska 4",73,4,3,1997,520 000 zł
"Oś.Pastelowe, 36,14 m2, parking, komórka, ogródek","Gdańsk Łostowice, Pastelowa",36.14,2,parter,2020,265 000 zł
3 pokoje w Gdańsku-Osowej!,"Gdańsk Osowa, Diany",56.04,3,1,2019,431 900 zł
"Mieszkanie nad morzem, 4 pokoje","Gdańsk Sobieszewo, Kwiatowa",83.4,4,1,1976,333 517 zł
Gdańsk Ujeścisko Ostrołęcka,"Gdańsk Ujeścisko, Ostrołęcka",49,2,parter,2001,409 000 zł
3 pokoje w Gdańsku-Osowej!,"Gdańsk Osowa, Diany",62.68,3,3,2019,450 780 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Stare Przedmieście, Okopowa",58.68,2,2,1890,460 000 zł
3 pokoje z możliwością wydzielenia 4 pokoju!,"Gdańsk Osowa, Diany",139.2,3,4,2019,1 013 010 zł
Luksusowy 2 pokojowy apartament w sercu miasta.,"Gdańsk Długie Ogrody, Szafarnia",70,2,4,2010,889 000 zł
2-poziomowe mieszkanie na osiedlu Gdańsk Karczemki,"Gdańsk Karczemki, Storczykowa",97,3,3,2003,499 000 zł
SZUKASZ MIESZKANIA Z POTENCJAŁEM?! OLIWA! PARTER!,"Gdańsk Oliwa, Aleksandra Majkowskiego",82.4,4,parter,1899,890 000 zł
2 pokoje/ słoneczna morena/ hala garażowa,"Gdańsk Morena, Stanisława Lema",40.14,2,3,2015,435 000 zł
Wykończony apartament w Centrum Starego Miasta,"Gdańsk Śródmieście, Panieńska",47.5,2,1,2018,799 000 zł
Pięknie mieszkanko dla inwestora i rodziny,"Gdańsk Morena, Burgaska",63,3,4,0,495 000 zł
Mieszkanie Gdańsk Przymorze  47 m2,Gdańsk Przymorze,47,2,2,0,520 000 zł
CZTERY POKOJE Z DWOMA BALKONAMI WE WRZESZCZU !!!,"Gdańsk Wrzeszcz, Bolesława Chrobrego",68,4,3,1950,750 000 zł
Mieszkanie - Gdańsk Morena,"Gdańsk Morena, Myśliwska",77.35,3,3,2020,649 000 zł
Mieszkanie - Gdańsk Brzeźno,"Gdańsk Brzeźno, Hallera Józefa",27,2,4,1970,289 000 zł
"4 pokoje, dla rodziny","Gdańsk Morena, Morenowe Wzgórze",84,4,5,2008,640 000 zł
Mieszkanie - Gdańsk Przymorze,"Gdańsk Przymorze, Jagiellońska",38,2,8,1972,369 000 zł
NAJLEPSZA LOKALIZACJA/ 2 POKOJE!,"Gdańsk Wrzeszcz, Współczesna",54.1,2,4,1985,455 000 zł
Gustownie urządzone mieszkanie - balkon i taras,"Gdańsk Chełm, Stanisława Hebanowskiego",71,3,parter,2006,680 000 zł
Sprzedam Atrakcyjne Dwupoziomowe Mieszkanie 64M NA Ujescisku,"Gdańsk  Ujescisko , Przemyska",64,2,3,2007,439 000 zł
Komfortowy apartament w sercu Gdańska,"Gdańsk Dolne Miasto, Łąkowa",91,3,5,2017,1 300 000 zł
Mieszkanie Gdańsk Śródmieście Szafarnia 77 m2,"Gdańsk Długie Ogrody, Szafarnia",77,3,3,2010,960 000 zł
Marina primore - zamieszkaj 5 min od morza!,"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",57.5,3,1,2009,770 000 zł
3 pokojowe zadbane mieszkanie widok na morze!,"Gdańsk Brzeźno, Kazimierza Pułaskiego",53,3,4,1976,609 000 zł
Komfortowy 4 pokojowy Apartament Gdańsk Zaspa,"Gdańsk Zaspa, Jana Pawła Ii",76.7,4,2,2014,1 199 000 zł
3 Pokoje i gabinet w śródmieściu !,"Gdańsk Stare Przedmieście, Kotwiczników",73,3,1,1905,689 000 zł
Dwupokojowy apartament w inwestycji z basenem,"Gdańsk Długie Ogrody, Szafarnia",53.92,2,4,2012,840 000 zł
"Komfortowy Apartament, Gdańsk, Przymorze, 113 m2","Gdańsk Przymorze, Dąbrowszczaków",113,4,4,2009,1 150 000 zł
Gdańsk Wrzeszcz Grudziądzka,"Gdańsk Wrzeszcz, Grudziądzka",65,3,1,2019,1 040 000 zł
Zamieszkaj w willowej inwestycji!,"Gdańsk Jelitkowo, Bursztynowa",109.7,4,1,2019,1 921 735 zł
2 poziomowe mieszkanie z Sauną - Gdańsk Jasień,"Gdańsk Jasień, Rycerza Blizbora",71.17,4,4,1994,533 000 zł
Dogodna lokalizacja i codzienny spokój,"Gdańsk Łostowice, Pastelowa",105.57,3,3,2020,549 900 zł
Dogodna lokalizacja i codzienny spokój,"Gdańsk Łostowice, Pastelowa",105.57,3,3,2020,549 900 zł
Tu spełniają się marzenia. Nie czekaj.,"Gdańsk Morena, Myśliwska",120.33,4,3,2020,980 500 zł
Mieszkanie z antresolą,"Gdańsk Szadółki, Potęgowska",68.19,2,3,2020,450 000 zł
Nowe na wyspie Spichrzów,"Gdańsk Śródmieście, Chmielna",35.04,2,1,2020,595 680 zł
"61 m2 - 3 pokoje na Morenowym Wzgórzu,2 balkony","Gdańsk Morena, Morenowe Wzgórze",61,3,1,2007,615 000 zł
Prawdopodobnie najlepszy widok na panoramę Gdańska,"Gdańsk Śródmieście, Wałowa",72,3,17,2017,1 170 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Sadowa",50,2,parter,2018,670 000 zł
"Apartament 4  samodzielne pokoje, garaż, ogród: GD","Gdańsk Jasień, Xx",69.5,4,parter,2013,510 000 zł
Mieszkanie - Gdańsk Przymorze,"Gdańsk Przymorze, Śląska",50,3,parter,1964,455 000 zł
Apartament w Grano Residence z klimatyzacją,"Gdańsk Śródmieście, Pszenna",67,3,6,2020,1 065 300 zł
Dwupoziomowe mieszkanie dla rodziny na Karczemkach,"Gdańsk Karczemki, Storczykowa",97,3,3,2003,485 000 zł
Śródmieście / Po Generalnym Remoncie,"Gdańsk Stare Przedmieście, Toruńska",41.3,1,1,1902,445 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Jasień, 4 pokoje, 65 mkw, za 389000 zł. Kup Bez Prowizji!","Gdańsk Szadółki, Stężycka",65,4,2,0,389 000 zł
Trzypokojowy apartament z ładnym widokiem,"Gdańsk Długie Ogrody, Św. Barbary",80,3,4,2017,939 000 zł
Klimatyczne mieszkanie w zabytkowej kamienicy,"Gdańsk Śródmieście, Sukiennicza",58,2,parter,1900,600 000 zł
Gotowiec inwest. we Wrzeszczu (2 pok. i kawalerka),"Gdańsk Wrzeszcz, Gen. Józefa Fiszera",48,3,parter,1920,568 000 zł
Mieszkanie w centrum na sprzedaż,"Gdańsk Wrzeszcz, Sobótki",100,4,3,1910,690 000 zł
2 pokoje w kamienicy inwestycyjne przy Starówce,"Gdańsk Śródmieście, Podzamcze",35,2,2,1966,449 000 zł
Apartament 3-pok z ogródkami o pow. 210m2!,"Gdańsk Zaspa, Jana Pawła Ii",71.4,3,1,2012,930 000 zł
