Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
"Komfortowe 3 pokojowe - Gdańsk, Ujeścisko.","Gdańsk Zakoniczyn, Stanisława Dąbka",56.1,3,1,2018,499 000 zł
"Przestronne, ustawne 4-pokojowe mieszkanie - CHEŁM","Gdańsk Chełm, Stanisława Hebanowskiego",61,3,3,2005,499 000 zł
Mieszkanie 3-pok w nowym budownictwie,"Gdańsk Orunia Górna, Platynowa",63,3,4,2013,590 000 zł
"Tylko u nas,kompletnie urządzone-dostępne od ręki!","Gdańsk Zakoniczyn, Kazimierza Porębskiego",61.1,3,2,2009,450 000 zł
"Jasna, przestronne 33m2, umeblowane - Zakoniczyn","Gdańsk Zakoniczyn, Konrada Guderskiego",32.5,1,3,2007,275 000 zł
2 pokoje nad morzem sprzedam!,"Gdańsk Brzeźno, Gen. Józefa Hallera",26.35,2,3,1980,319 000 zł
Nowe mieszkanie z ogrodem na Morenie!,Gdańsk Morena,57.63,3,parter,2020,499 000 zł
Stwórz idealną przestrzeń do mieszkania,"Gdańsk Łostowice, Złota",50.6,2,3,0,397 000 zł
Mieszkanie - Gdańsk Przymorze,"Gdańsk Przymorze, Kołobrzeska",54,3,1,1975,465 000 zł
Mieszkanie - Gdańsk,Gdańsk Katedów,60.5,3,parter,0,459 000 zł
Nowoczesne 3 pokojowe mieszkanie- Łostowice!,"Gdańsk Łostowice, Olimpijska",65,3,parter,2004,449 000 zł
3 pokoje na morenie- nowe budownictwo!,"Gdańsk Morena, Myśliwska",53,3,3,2016,519 000 zł
Piękne 2 Pokojowe Mieszkanie !! nie falowiec !!,Gdańsk Przymorze,37,2,parter,0,425 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Panieńska",53.81,3,2,2018,844 817 zł
Rezydencja Wintera - Widok na rzekę - Bez PCC!,"Gdańsk Stare Miasto, Kotwiczników",102,4,4,2018,970 000 zł
Garden Gates - Apartament Na Sprzedaż!,"Gdańsk Długie Ogrody, Długie Ogrody",41.3,2,3,2019,495 599 zł
OldNova - Oferta Premium!,"Gdańsk Śródmieście, Panieńska",47.51,2,1,2018,799 000 zł
Apartament gotowy do odbioru - angielska grobla!,"Gdańsk Długie Ogrody, Szafarnia",89.61,4,5,2017,940 000 zł
3-pokoje z oddzielną kuchnią Żabianka,"Gdańsk Żabianka, Sztormowa",54,3,parter,0,489 000 zł
Luksusowy apartament w sercu Gdańska,"Gdańsk Stare Przedmieście, Wilcza",47.98,2,3,2021,498 500 zł
"Apartament w Aviatorze, doskonała lokalizacja","Gdańsk Zaspa, Jana Pawła Ii",84,4,6,2015,1 100 000 zł
Nowy apartament w rozwijającej się dzielnicy,"Gdańsk Jasień, Eugeniusza Węgrzyna",52,3,parter,2020,530 000 zł
Słoneczne dwustronne mieszkanie na Kowalach!,"Gdańsk Kowale, Apollina",56.2,2,1,2016,430 000 zł
